column_id,table_id,column_name,data_type
82a78054-fd5b-4cb2-9fbe-4e55bdc89891,6c2bb51f-8686-4e8c-b48a-da1806cec6a6,id,gen_random_uuid()
7fe2aecc-139d-4fc7-ae88-96b385dce31b,6c2bb51f-8686-4e8c-b48a-da1806cec6a6,member_id,text
a92a4155-503b-4e43-8d39-dda60a23b47e,6c2bb51f-8686-4e8c-b48a-da1806cec6a6,name,text
2dffac6e-af7c-43ca-96cd-48b0d65a54d6,6c2bb51f-8686-4e8c-b48a-da1806cec6a6,age,text
e23955d8-3c24-4287-910b-4ff8805bea7f,6c2bb51f-8686-4e8c-b48a-da1806cec6a6,gender,text
c05a1729-cf31-487a-aecc-1a250dd0f21a,6c2bb51f-8686-4e8c-b48a-da1806cec6a6,join_date,date
df09ee88-ba90-4bc8-91cb-5c4a230ea66d,6c2bb51f-8686-4e8c-b48a-da1806cec6a6,goal,text
08c05a3d-032e-4eaa-9c79-e18daa327b2b,60fbbb65-1a33-440a-97bc-21f33d15e981,id,gen_random_uuid()
34c76873-1a41-4b8c-938d-dfb70e2c53b3,60fbbb65-1a33-440a-97bc-21f33d15e981,member_id,text
41444802-0dd3-4e10-a22b-2ddd764c1e4b,60fbbb65-1a33-440a-97bc-21f33d15e981,date,date
0534c1e2-56d1-4239-9139-d4978b3c5ff5,60fbbb65-1a33-440a-97bc-21f33d15e981,attended,number